source,geo_or_category,trend_status,rank,title,metric,pub_age_minutes,published_at,related_context,url,fetched_at
google_trends,CA,NEW_PAST_HOUR,1,montreal trudeau airport,2000+ searches,40m,2026-08-25T08:20:00.000Z,'Unfortunate accident' at Montreal's Trudeau airport sends employee to hospital; Traffic controller in critical condition after being struck by a plane in Montreal; Montreal airport worker seriously injured after being struck by aircraft,https://www.google.com/search?q=montreal%20trudeau%20airport,2026-08-25T09:00:05.740Z
google_trends,CA,NEW_PAST_HOUR,2,draftkings,100+ searches,80m,2026-08-25T07:40:00.000Z,"DraftKings Promo Code: Get New $200 Bonus For Phillies-Mariners, MLB Games; BetMGM bonus code POSTBET: Get up to $1,500 back in bonus bets for Valkyries vs. Lynx; DraftKings Promo Code: Get $150 in Bonuses for Seahawks vs. Titans, NFL Trading",https://www.google.com/search?q=draftkings,2026-08-25T09:00:05.740Z
google_trends,CA,NEW_PAST_HOUR,3,pasindu sooriyabandara,200+ searches,140m,2026-08-25T06:40:00.000Z,"How Jurel scores unobtrusive runs with old-world charm; Prasidh Krishna takes 3-35 for India. Sri Lanka reaches 130-4 at lunch on Day 3 of 2nd cricket test; Sri Lanka vs India, 2nd Test, Day 2 feature: The value of Dhruv Jurel",https://www.google.com/search?q=pasindu%20sooriyabandara,2026-08-25T09:00:05.740Z
google_trends,CA,NEW_PAST_HOUR,4,sony playstation,100+ searches,170m,2026-08-25T06:10:00.000Z,Will the PlayStation Blackout Make a Difference?; Group plans one-week PlayStation blackout to protest Sony’s plan to end physical game production — calls for players to turn off their consoles or log out of PSN from August 23 to 30; PlayStation issues update on digital future as week-long console blackout gets underway,https://www.google.com/search?q=sony%20playstation,2026-08-25T09:00:05.740Z
google_trends,CA,NEW_PAST_HOUR,5,angel reese,1000+ searches,260m,2026-08-25T04:40:00.000Z,"Dream forward Angel Reese sets two rebounding records in win; WNBA: Dream 78, Sparks 71; Reese's career night helps Dream clinch playoff berth",https://www.google.com/search?q=angel%20reese,2026-08-25T09:00:05.740Z
google_trends,CA,NEW_PAST_HOUR,6,philippine airlines,100+ searches,260m,2026-08-25T04:40:00.000Z,"San Miguel’s NNIC partners with PAL to fix airport delays; NNIC, PAL set new playbook to keep flights moving at NAIA; NAIA operator, PAL sign airport use agreement",https://www.google.com/search?q=philippine%20airlines,2026-08-25T09:00:05.740Z
google_trends,CA,NEW_PAST_HOUR,7,running man,500+ searches,270m,2026-08-25T04:30:00.000Z,"Yu Jae-seok's Offhand Remark Becomes Reality... 'Running Man' Holds Special Loyalty Race for Director Kang Chan-hee of 16 Years; How Much Does He Look Like Son Heung-min? Kim Jong-kook Is Fooled by Lee Se-hyun's Appearance: ""He Looks Exactly the Same"" (Running Man); Haha, personally donates 500,000 won for 'Running Man' production team... ginseng gift [★Night TView]",https://www.google.com/search?q=running%20man,2026-08-25T09:00:05.740Z
google_trends,CA,NEW_PAST_HOUR,8,target halloween costumes,5000+ searches,280m,2026-08-25T04:20:00.000Z,Target apologizes for ‘offensive’ Halloween costume after backlash; Target apologizes for children's clown Halloween costume after backlash; 'This is wrong and this is racist': Reactions lead to Target pulling Halloween costume and apologizing,https://www.google.com/search?q=target%20halloween%20costumes,2026-08-25T09:00:05.740Z
google_trends,CA,NEW_PAST_HOUR,9,not suitable for work,200+ searches,280m,2026-08-25T04:20:00.000Z,Hulu Cancels Mindy Kaling-Created Comedy ‘Not Suitable for Work’ After One Season (EXCLUSIVE); ‘Not Suitable For Work’ Canceled By Hulu After One Season; Hulu Cancels ‘Not Suitable for Work’ After One Season,https://www.google.com/search?q=not%20suitable%20for%20work,2026-08-25T09:00:05.740Z
google_trends,CA,NEW_PAST_HOUR,10,glen powell,200+ searches,290m,2026-08-25T04:10:00.000Z,How to Get People to Like You More + Why Glen Powell Couldn't Eat Ketchup f; ABC announces Jimmy Kimmel's replacement starting tonight; Jimmy Kimmel Live Schedule for the Week of 8/24/2026,https://www.google.com/search?q=glen%20powell,2026-08-25T09:00:05.740Z
google_trends,US,NEW_PAST_HOUR,1,snow,500+ searches,20m,2026-08-25T08:40:00.000Z,"Sky Tavern Summer Snow Day | Snow in August, Junior Ski Program & Family Fun | Entertainment | 2news.com; Nevada Ski Area Hosts August Snow Event; 1992 Snow Weather Wise",https://www.google.com/search?q=snow,2026-08-25T09:00:05.740Z
google_trends,US,NEW_PAST_HOUR,2,texas roadhouse,2000+ searches,40m,2026-08-25T08:20:00.000Z,"Viral post alleges Texas Roadhouse mistreated Black customers; company responds; Texas Roadhouse responds to food-tampering, racism allegations on TikTok; Texas Roadhouse under fire over alleged racist Facebook group: What is the controversy? | Hindustan Times",https://www.google.com/search?q=texas%20roadhouse,2026-08-25T09:00:05.740Z
