Party Name,City,Official Website,Contact Email,Key Figures,Active Elected Reps,Notes
ABC Vancouver,Vancouver,https://abcvancouver.ca,info@abcvancouver.ca,"Mayor Ken Sim, Sarah Kirby-Yung, Lisa Dominato",8 (Mayor + 7 Councillors),Currently holds governing majority on Vancouver City Council & Park Board.
Surrey Connect,Surrey,https://surreyconnect.ca,info@surreyconnect.ca,"Mayor Brenda Locke, Rob Stutt, Harry Bains, Gordon Hepner",5 (Mayor + 4 Councillors),Currently holds governing majority on Surrey City Council.
Surrey First,Surrey,https://surreyfirst.ca,info@surreyfirst.ca,"Linda Annis, Mike Bose",2 Councillors,Longstanding Surrey electoral organization.
Safe Surrey Coalition,Surrey,https://safesurreycoalition.ca,info@safesurreycoalition.ca,"Doug Elford, Mandeep Nagra (Former Mayor Doug McCallum)",2 Councillors,Active civic party in Surrey.
Burnaby Citizens Association (BCA),Burnaby,https://burnabycitizens.ca,info@burnabycitizens.ca,"Mayor Mike Hurley, Alison Gu, Pietro Calendino, Sav Dhaliwal",6 (Mayor + 5 Councillors),Governing civic party in Burnaby.
Burnaby Green Party,Burnaby,https://burnabygreens.ca,info@burnabygreens.ca,Carrie Rossi,1 Councillor,Green electoral organization in Burnaby.
Contract with Langley,Langley Township,https://contractwithlangley.ca,info@contractwithlangley.ca,"Mayor Eric Woodward, Barb Martens, Tim Baillie, Steve Ferguson",4 (Mayor + 3 Councillors),Governing party in Township of Langley.
Community First New West,New Westminster,https://communityfirstnw.ca,info@communityfirstnw.ca,"Mayor Patrick Johnstone, Ruby Campbell, Jaimie McEvoy",5 (Mayor + 4 Councillors),Progressive governing party in New Westminster.
New Westminster Progressives,New Westminster,https://nwprogressives.ca,info@nwprogressives.ca,"Daniel Fontaine, Paul Minhas",2 Councillors,Centre-right civic organization in New Westminster.
Achieving For Delta,Delta,https://achievingfordelta.ca,info@achievingfordelta.ca,"Mayor George V. Harvie, Dylan Kruger, Alicia Guichon",3 (Mayor + 2 Councillors),Governing civic organization in Delta.
Abbotsford First Electors Society,Abbotsford,https://abbotsfordfirst.com,info@abbotsfordfirst.com,"Kelly Chahal, Les Barkman",2 Councillors,Civic electors organization in Abbotsford.
Green Party of Vancouver,Vancouver,https://vancouvergreens.ca,info@vancouvergreens.ca,"Adriane Carr, Pete Fry",3 (2 Councillors + Park Board),Vancouver Green civic party.
OneCity Vancouver,Vancouver,https://onecityvancouver.ca,info@onecityvancouver.ca,Christine Boyle,1 Councillor,Progressive civic party in Vancouver.
COPE (Coalition of Progressive Electors),Vancouver,https://copevancouver.ca,cope@copevancouver.ca,"Jean Swanson, Tania Blyth",School Board & Civic Movement,Historic progressive civic coalition in Vancouver.
TEAM for a Liveable Vancouver,Vancouver,https://voteteam.ca,info@voteteam.ca,Colleen Hardwick,Civic Organization,Neighbourhood advocacy civic party in Vancouver.
RITE Richmond,Richmond,https://riterichmond.ca,info@riterichmond.ca,"Michael Wolfe, Carol Day",3 Councillors,Progressive Richmond electors society.
ONE Richmond,Richmond,https://onerichmond.ca,info@onerichmond.ca,"Chak Au, Kash Heed",2 Councillors,Active civic organization in Richmond.
Richmond RISE,Richmond,https://richmondrise.ca,info@richmondrise.ca,Andy Hobbs,1 Councillor,Civic electors organization in Richmond.
Richmond United,Richmond,https://richmondunited.ca,info@richmondunited.ca,Bill McNulty,1 Councillor,Richmond civic electors organization.
Maple Ridge First,Maple Ridge,https://mapleridgefirst.ca,info@mapleridgefirst.ca,Judy Dueck,1 Councillor,Civic party in Maple Ridge.
