name,email,role,city,wall_slug,population,city_population_rank
Richard Lee,,Councillor,Burnaby,richard-lee-councillor,249125,3
Chak Au,,Councillor,Richmond,chak-au-councillor,209937,4
Gord Lovegrove,,Councillor,Kelowna,gord-lovegrove-councillor,144576,7
Colin Plant,,Councillor,Saanich,colin-plant-councillor,117735,9
Judy Brownoff,,Councillor,Saanich,judy-brownoff-councillor,117735,9
Karen Harper,,Councillor,Saanich,karen-harper-councillor,117735,9
Mena Westhaver,,Councillor,Saanich,mena-westhaver-councillor,117735,9
Nathalie Chambers,,Councillor,Saanich,nathalie-chambers-councillor,117735,9
Susan Brice,,Councillor,Saanich,susan-brice-councillor,117735,9
Teale Phelps Bondaroff,,Councillor,Saanich,teale-phelps-bondaroff-councillor,117735,9
Zac de Vries,,Councillor,Saanich,zac-de-vries-councillor,117735,9
Alicia Guichon,,Councillor,Delta,alicia-guichon-councillor,108455,10
Daniel Boisvert,,Councillor,Delta,daniel-boisvert-councillor,108455,10
Dylan Kruger,,Councillor,Delta,dylan-kruger-councillor,108455,10
Jennifer Johal,,Councillor,Delta,jennifer-johal-councillor,108455,10
Jessie Dosanjh,,Councillor,Delta,jessie-dosanjh-councillor,108455,10
Rod Binder,,Councillor,Delta,rod-binder-councillor,108455,10
Ben Geselbracht,,Councillor,Nanaimo,ben-geselbracht-councillor,99863,11
Erin Hemmens,,Councillor,Nanaimo,erin-hemmens-councillor,99863,11
Hilary Eastmure,,Councillor,Nanaimo,hilary-eastmure-councillor,99863,11
Ian Thorpe,,Councillor,Nanaimo,ian-thorpe-councillor,99863,11
Janice Perrino,,Councillor,Nanaimo,janice-perrino-councillor,99863,11
Paul Manly,,Councillor,Nanaimo,paul-manly-councillor,99863,11
Sheryl Armstrong,,Councillor,Nanaimo,sheryl-armstrong-councillor,99863,11
Tyler Brown,,Councillor,Nanaimo,tyler-brown-councillor,99863,11
Bill Sarai,,Councillor,Kamloops,bill-sarai-councillor,97902,12
Dale Bass,,Councillor,Kamloops,dale-bass-councillor,97902,12
Katie Neustaeter,,Councillor,Kamloops,katie-neustaeter-councillor,97902,12
Kelly Hall,,Councillor,Kamloops,kelly-hall-councillor,97902,12
Margot Middleton,,Councillor,Kamloops,margot-middleton-councillor,97902,12
Mike O'Reilly,,Councillor,Kamloops,mike-o-reilly-councillor,97902,12
Nancy Bepple,,Councillor,Kamloops,nancy-bepple-councillor,97902,12
Stephen Karpuk,,Councillor,Kamloops,stephen-karpuk-councillor,97902,12
Bud Mercer,,Councillor,Chilliwack,bud-mercer-councillor,93203,13
Chris Kloot,,Councillor,Chilliwack,chris-kloot-councillor,93203,13
Harv Westeringh,,Councillor,Chilliwack,harv-westeringh-councillor,93203,13
Jason Lum,,Councillor,Chilliwack,jason-lum-councillor,93203,13
Jeff Shields,,Councillor,Chilliwack,jeff-shields-councillor,93203,13
Nicole Huitema Read,,Councillor,Chilliwack,nicole-huitema-read-councillor,93203,13
Christopher Mark Coleman,,Councillor,Victoria,christopher-mark-coleman-councillor,91867,14
Ahmed Yousef,,Councillor,Maple Ridge,ahmed-yousef-councillor,90990,15
Jenny Tan,,Councillor,Maple Ridge,jenny-tan-councillor,90990,15
Judy Dueck,,Councillor,Maple Ridge,judy-dueck-councillor,90990,15
Korleen Carreras,,Councillor,Maple Ridge,korleen-carreras-councillor,90990,15
Onyeka Dozie,,Councillor,Maple Ridge,onyeka-dozie-councillor,90990,15
Sunny Schiller,,Councillor,Maple Ridge,sunny-schiller-councillor,90990,15
Daniel FONTAINE,,Councillor,New Westminster,daniel-fontaine-councillor,78916,17
