name,email,role,city,wall_slug,population,city_population_rank
Adriane Carr,Adriane.Carr@vancouver.ca,Councillor,Vancouver,adriane-carr-councillor,662248,1
Brian Montague,Brian.Montague@vancouver.ca,Councillor,Vancouver,brian-montague-councillor,662248,1
Christine Boyle,Christine.Boyle@vancouver.ca,Councillor,Vancouver,christine-boyle-councillor,662248,1
Lenny Zhou,Lenny.Zhou@vancouver.ca,Councillor,Vancouver,lenny-zhou-councillor,662248,1
Lisa Dominato,Lisa.Dominato@vancouver.ca,Councillor,Vancouver,lisa-dominato-councillor,662248,1
Mike Klassen,Mike.Klassen@vancouver.ca,Councillor,Vancouver,mike-klassen-councillor,662248,1
Pete Fry,Pete.Fry@vancouver.ca,Councillor,Vancouver,pete-fry-councillor,662248,1
Peter Meiszner,Peter.Meiszner@vancouver.ca,Councillor,Vancouver,peter-meiszner-councillor,662248,1
Rebecca Bligh,Rebecca.Bligh@vancouver.ca,Councillor,Vancouver,rebecca-bligh-councillor,662248,1
Sarah Kirby-Yung,Sarah.Kirby-Yung@vancouver.ca,Councillor,Vancouver,sarah-kirby-yung-councillor,662248,1
Doug Elford,doug.elford@surrey.ca,Councillor,Surrey,doug-elford-councillor,568322,2
Gordon Hepner,ghepner@surrey.ca,Councillor,Surrey,gordon-hepner-councillor,568322,2
Harry Bains,harry.bains@surrey.ca,Councillor,Surrey,harry-bains-councillor,568322,2
Linda Annis,linda.annis@surrey.ca,Councillor,Surrey,linda-annis-councillor,568322,2
Mandeep Nagra,mandeep.nagra@surrey.ca,Councillor,Surrey,mandeep-nagra-councillor,568322,2
Mike Bose,mike.bose@surrey.ca,Councillor,Surrey,mike-bose-councillor,568322,2
Pardeep Kooner,pardeep.kooner@surrey.ca,Councillor,Surrey,pardeep-kooner-councillor,568322,2
Rob Stutt,rob.stutt@surrey.ca,Councillor,Surrey,rob-stutt-councillor,568322,2
Alison Gu,alison.gu@burnaby.ca,Councillor,Burnaby,alison-gu-councillor,249125,3
Daniel Tetrault,daniel.tetrault@burnaby.ca,Councillor,Burnaby,daniel-tetrault-councillor,249125,3
James Wang,james.wang@burnaby.ca,Councillor,Burnaby,james-wang-councillor,249125,3
Joe Keithley,joe.keithley@burnaby.ca,Councillor,Burnaby,joe-keithley-councillor,249125,3
Maita Santiago,maita.santiago@burnaby.ca,Councillor,Burnaby,maita-santiago-councillor,249125,3
Pietro Calendino,pietro.calendino@burnaby.ca,Councillor,Burnaby,pietro-calendino-councillor,249125,3
Sav Dhaliwal,sav.dhaliwal@burnaby.ca,Councillor,Burnaby,sav-dhaliwal-councillor,249125,3
Alexa Loo,Alexa.Loo@richmond.ca,Councillor,Richmond,alexa-loo-councillor,209937,4
Andy Hobbs,Andy.Hobbs@richmond.ca,Councillor,Richmond,andy-hobbs-councillor,209937,4
Bill McNulty,Bill.McNulty@richmond.ca,Councillor,Richmond,bill-mcnulty-councillor,209937,4
Carol Day,Carol.Day@richmond.ca,Councillor,Richmond,carol-day-councillor,209937,4
Kash Heed,Kash.Heed@richmond.ca,Councillor,Richmond,kash-heed-councillor,209937,4
Laura Gillanders,Laura.Gillanders@richmond.ca,Councillor,Richmond,laura-gillanders-councillor,209937,4
Michael Wolfe,Michael.Wolfe@richmond.ca,Councillor,Richmond,michael-wolfe-councillor,209937,4
Dave Loewen,Mawarkentin@abbotsford.ca,Councillor,Abbotsford,dave-loewen-councillor,153524,5
Dave Sidhu,pross@abbotsford.ca,Councillor,Abbotsford,dave-sidhu-councillor,153524,5
Kelly Chahal,dsidhu@abbotsford.ca,Councillor,Abbotsford,kelly-chahal-councillor,153524,5
Les Barkman,dfloewen@abbotsford.ca,Councillor,Abbotsford,les-barkman-councillor,153524,5
Mark Warkentin,sgibson@abbotsford.ca,Councillor,Abbotsford,mark-warkentin-councillor,153524,5
Patricia Driessen,kchahal@abbotsford.ca,Councillor,Abbotsford,patricia-driessen-councillor,153524,5
Patricia Ross,pdriessen@abbotsford.ca,Councillor,Abbotsford,patricia-ross-councillor,153524,5
Simon Gibson,lbarkman@abbotsford.ca,Councillor,Abbotsford,simon-gibson-councillor,153524,5
Brent Asmundson,basmundson@coquitlam.ca,Councillor,Coquitlam,brent-asmundson-councillor,148625,6
Craig Hodge,chodge@coquitlam.ca,Councillor,Coquitlam,craig-hodge-councillor,148625,6
Dennis Marsden,dmarsden@coquitlam.ca,Councillor,Coquitlam,dennis-marsden-councillor,148625,6
Matt Djonlic,mdjonlic@coquitlam.ca,Councillor,Coquitlam,matt-djonlic-councillor,148625,6
Robert Mazzarolo,rmazzarolo@coquitlam.ca,Councillor,Coquitlam,robert-mazzarolo-councillor,148625,6
Steve Kim,skim@coquitlam.ca,Councillor,Coquitlam,steve-kim-councillor,148625,6
Teri Towner,ttowner@coquitlam.ca,Councillor,Coquitlam,teri-towner-councillor,148625,6
Trish Mandewo,tmandewo@coquitlam.ca,Councillor,Coquitlam,trish-mandewo-councillor,148625,6
Charlie Hodge,chodge@kelowna.ca,Councillor,Kelowna,charlie-hodge-councillor,144576,7
Loyal Wooldridge,lwooldridge@kelowna.ca,Councillor,Kelowna,loyal-wooldridge-councillor,144576,7
Luke Stack,lstack@kelowna.ca,Councillor,Kelowna,luke-stack-councillor,144576,7
Maxine DeHart,mdehart@kelowna.ca,Councillor,Kelowna,maxine-dehart-councillor,144576,7
Mohini Singh,msingh@kelowna.ca,Councillor,Kelowna,mohini-singh-councillor,144576,7
Rick Webber,rwebber@kelowna.ca,Councillor,Kelowna,rick-webber-councillor,144576,7
Ron Cannan,rcannan@kelowna.ca,Councillor,Kelowna,ron-cannan-councillor,144576,7
Barb Martens,bmartens@tol.ca,Councillor,Langley,barb-martens-councillor,132603,8
Blair Whitmarsh,bwhitmarsh@tol.ca,Councillor,Langley,blair-whitmarsh-councillor,132603,8
