name,email,role,city,wall_slug
Ken Sim,Ken.Sim@vancouver.ca,Mayor,Vancouver,ken-sim-mayor
Brenda Locke,mayor@surrey.ca,Mayor,Surrey,brenda-locke-mayor
Mike Hurley,mayor@burnaby.ca,Mayor,Burnaby,mike-hurley-mayor
Malcolm Brodie,mayorea@richmond.ca,Mayor,Richmond,malcolm-brodie-mayor
Ross Siemens,mayorsiemens@abbotsford.ca,Mayor,Abbotsford,ross-siemens-mayor
Richard Stewart,rstewart@coquitlam.ca,Mayor,Coquitlam,richard-stewart-mayor
Tom Dyas,mayorandcouncil@kelowna.ca,Mayor,Kelowna,tom-dyas-mayor
Eric Woodward,ewoodward@tol.ca,Mayor,Langley (Township),eric-woodward-mayor
Dean Murdock,mayor@saanich.ca,Mayor,Saanich,dean-murdock-mayor
George V. Harvie,mayorharvie@delta.ca,Mayor,Delta,george-v-harvie-mayor
Leonard Krog,leonard.krog@nanaimo.ca,Mayor,Nanaimo,leonard-krog-mayor
Marianne Alto,malto@victoria.ca,Mayor,Victoria,marianne-alto-mayor
Dan Ruimy,druimy@mapleridge.ca,Mayor,Maple Ridge,dan-ruimy-mayor
Patrick JOHNSTONE,pjohnstone@newwestcity.ca,Mayor,New Westminster,patrick-johnstone-mayor
Simon Yu,simon.yu@princegeorge.ca,Mayor,Prince George,simon-yu-mayor
Brad West,mayor@portcoquitlam.ca,Mayor,Port Coquitlam,brad-west-mayor
Linda BUCHANAN,mayor@cnv.org,Mayor,North Vancouver (City),linda-buchanan-mayor
Mark Sager,mark@westvancouver.ca,Mayor,West Vancouver,mark-sager-mayor
Paul Horn,phorn@mission.ca,Mayor,Mission,paul-horn-mayor
Nathan Pachal,npachal@langleycity.ca,Mayor,Langley (City),nathan-pachal-mayor
