source,geo_or_category,rank,title,metric,related_context,url,fetched_at
google_trends,CA,1,milo ventimiglia,100+ searches,‘American Blue’ Cop Drama Pilot Not Going Forward At HBO Max; Being Shopped To Other Buyers; ‘The Pitt’ Adjacent Show Rejected At HBO Max; HBO's The Pitt-Style Police Series Hits Major Roadblock At Studio,https://www.google.com/search?q=milo%20ventimiglia,2026-08-17T04:55:03.708Z
google_trends,CA,2,clock,100+ searches,"Beat the clock: The politics of daylight saving time in New Hampshire; New Hampshire sunrise, sunset times under permanent daylight saving time; Beat the clock: The politics of daylight saving time in New Hampshire",https://www.google.com/search?q=clock,2026-08-17T04:55:03.708Z
google_trends,CA,3,hayden panettiere cause de sa mort,200+ searches,"L’actrice Hayden Panettiere est décédée à l’âge de 36 ans, rapporte ABC News; L’actrice Hayden Panettiere est décédée; L’actrice Hayden Panettiere décède à l’âge de 36 ans",https://www.google.com/search?q=hayden%20panettiere%20cause%20de%20sa%20mort,2026-08-17T04:55:03.708Z
google_trends,CA,4,mls standings,200+ searches,Chicago Fire FC to Host CF Monterrey in Leagues Cup 2026 Quarterfinals; Leagues Cup 2026 Quarterfinal Schedule and Venues Announced; MLS vs. LIGA MX: Ranking the Leagues Cup 2026 quarterfinalists,https://www.google.com/search?q=mls%20standings,2026-08-17T04:55:03.708Z
google_trends,CA,5,sterling point season 2,100+ searches,"'Sterling Point' is Prime Video's best YA show, and its biggest outlier; Teen drama gives Canadian cottage country top billing; Amazon’s Show of the Summer Will Stand the Test of Time",https://www.google.com/search?q=sterling%20point%20season%202,2026-08-17T04:55:03.708Z
google_trends,CA,6,club tijuana vs cruz azul,100+ searches,"Tijuana vs Cruz Azul: Kalshi Promo Code & $10 Bonus; DraftKings Promo Code: Bet $5, Get $150 - Tijuana vs. Cruz Azul (August 16); Cruz Azul Takes Another Hit: Gonzalo Piovi Injured and Raises Alarms Before Liga MX Return—How Long Will He Be Out?",https://www.google.com/search?q=club%20tijuana%20vs%20cruz%20azul,2026-08-17T04:55:03.708Z
google_trends,CA,7,tijuana - cruz azul,200+ searches,"Cómo ver Xolos de Tijuana vs Cruz Azul en vivo: canales, streaming y horarios del Apertura de la Liga MX para España, México, Latinoamérica y USA; ¿Era penal sobre Gil Mora? El central determina que no hay falta sobre el jugador; ¡No se guardó nada! Nacho Rivera le anota a Cruz Azul y FESTEJA CON TODO | VIDEO",https://www.google.com/search?q=tijuana%20-%20cruz%20azul,2026-08-17T04:55:03.708Z
google_trends,CA,8,wcbl,200+ searches,"Murdoch, Kilshaw and Carnahan win WCBL championship with Saskatoon; Saskatoon Berries head to WCBL championship series for the first time; Berries steal Game 1 of WCBL final in Sylvan Lake 4-1, one win away from first title",https://www.google.com/search?q=wcbl,2026-08-17T04:55:03.708Z
google_trends,CA,9,environment canada calgary,200+ searches,Environment Canada issues yellow severe thunderstorm warning for Calgary; Stormy Sunday evening in southern Alberta comes with large hail threat; Got hail damage? Town of Claresholm urges caution in choosing someone to fix it,https://www.google.com/search?q=environment%20canada%20calgary,2026-08-17T04:55:03.708Z
google_trends,CA,10,hayden christensen,1000+ searches,Hayden Christensen Offers Rare Insight Into How He Bonds With 11-Year-Old Daughter Briar Rose; Hayden Christensen Offers Rare Insight Into How He Bonds With 11-Year-Old Daughter Briar Rose; The First Trailer for ‘Ahsoka’ Season 2 Is Finally Here,https://www.google.com/search?q=hayden%20christensen,2026-08-17T04:55:03.708Z
