map_shape_id,role_title,full_name,political_party,bio,contact_email,contact_phone,holding_since,source_url,photo_url
3384,MP,Steven Guilbeault,Liberal Party,Member of Parliament for Laurier—Sainte-Marie,Steven.Guilbeault@parl.gc.ca,1 613 992-6779,,https://www.ourcommons.ca/Members/en/steven-guilbeault(14171),https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/45/GuilbeaultSteven_Lib.jpg
3385,MP,Fayçal El-Khoury,Liberal Party,Member of Parliament for Laval—Les Îles,faycal.el-khoury@parl.gc.ca,1 613 992-2659,,https://www.ourcommons.ca/Members/en/faycal-el-khoury(88515),https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/45/ElKhouryFayçal_Lib.jpg
3386,MP,Tim Watchorn,Liberal Party,Member of Parliament for Les Pays-d'en-Haut,tim.watchorn@parl.gc.ca,1 613 995-3454,,https://www.ourcommons.ca/Members/en/tim-watchorn(122637),https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/45/WatchornTim_Lib.jpg
3387,MP,Sherry Romanado,Liberal Party,Member of Parliament for Longueuil—Charles-LeMoyne,sherry.romanado@parl.gc.ca,1 613 998-5961,,https://www.ourcommons.ca/Members/en/sherry-romanado(88521),https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/45/RomanadoSherry_Lib.jpg
3388,MP,Gérard Deltell,Conservative Party,Member of Parliament for Louis-Saint-Laurent—Akiawenhrahk,gerard.deltell@parl.gc.ca,1 613 996-4151,,https://www.ourcommons.ca/Members/en/gerard-deltell(88535),https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/45/DeltellGerard_CPC.jpg
3389,MP,Luc Berthold,Conservative Party,Member of Parliament for Mégantic—L'Érable—Lotbinière,luc.berthold@parl.gc.ca,1 613 995-1377,,https://www.ourcommons.ca/Members/en/luc-berthold(88541),https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/45/BertholdLuc_CPC.jpg
3390,MP,Jean-Denis Garon,Bloc Québécois,Member of Parliament for Mirabel,jean-denis.garon@parl.gc.ca,1 613 992-1227,,https://www.ourcommons.ca/Members/en/jean-denis-garon(110189),https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/45/GaronJean-Denis_BQ.jpg
3391,MP,Luc Thériault,Bloc Québécois,Member of Parliament for Montcalm,luc.theriault@parl.gc.ca,1 613 992-0164,,https://www.ourcommons.ca/Members/en/luc-theriault(88552),https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/45/ThériaultLuc_BQ.jpg
3392,MP,Jacques Gourde,Conservative Party,Member of Parliament for Lévis—Lotbinière,jacques.gourde@parl.gc.ca,1 613 992-2639,,https://www.ourcommons.ca/Members/en/jacques-gourde(35397),https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/45/GourdeJacques_CPC.jpg
3393,MP,Natilien Joseph,Liberal Party,Member of Parliament for Longueuil—Saint-Hubert,natilien.joseph@parl.gc.ca,1 613 992-8514,,https://www.ourcommons.ca/Members/en/natilien-joseph(122646),https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/45/JosephNatilien_Lib.jpg
3394,MP,Gabriel Hardy,Conservative Party,Member of Parliament for Montmorency—Charlevoix,gabriel.hardy@parl.gc.ca,1 613 995-9732,,https://www.ourcommons.ca/Members/en/gabriel-hardy(122678),https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/45/HardyGabriel_CPC.jpg
3395,MP,Joël Lightbound,Liberal Party,Member of Parliament for Louis-Hébert,joel.lightbound@parl.gc.ca,1 613 995-4995,,https://www.ourcommons.ca/Members/en/joel-lightbound(88532),https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/45/LightboundJoel_Lib.jpg
3396,MP,Carlos Leitão,Liberal Party,Member of Parliament for Marc-Aurèle-Fortin,carlos.leitao@parl.gc.ca,1 613 992-1120,,https://www.ourcommons.ca/Members/en/carlos-leitao(122656),https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/45/LeitaoCarlos_Lib.jpg
3397,MP,Rachel Bendayan,Liberal Party,Member of Parliament for Outremont,Rachel.Bendayan@parl.gc.ca,1 613 995-7691,,https://www.ourcommons.ca/Members/en/rachel-bendayan(88567),https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/45/BendayanRachel_Lib.jpg
3398,MP,Anthony Housefather,Liberal Party,Member of Parliament for Mount Royal,anthony.housefather@parl.gc.ca,1 613 995-0121,,https://www.ourcommons.ca/Members/en/anthony-housefather(88558),https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/45/HousefatherAnthony_Lib.jpg
3399,MP,Bienvenu-Olivier Ntumba,Liberal Party,Member of Parliament for Mont-Saint-Bruno—L'Acadie,bienvenu-olivier.ntumba@parl.gc.ca,1 613 996-2416,,https://www.ourcommons.ca/Members/en/bienvenu-olivier-ntumba(122668),https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/45/NtumbaBienvenu-Olivier_Lib.jpg
3400,MP,Anna Gainey,Liberal Party,Member of Parliament for Notre-Dame-de-Grâce—Westmount,anna.gainey@parl.gc.ca,1 613 996-7267,,https://www.ourcommons.ca/Members/en/anna-gainey(115736),https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/45/GaineyAnna_Lib.jpg
3401,MP,Marjorie Michel,Liberal Party,Member of Parliament for Papineau,marjorie.michel@parl.gc.ca,1 613 947-9299,,https://www.ourcommons.ca/Members/en/marjorie-michel(122684),https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/45/MichelMarjorie_Lib.jpg
3402,MP,Xavier Barsalou-Duval,Bloc Québécois,Member of Parliament for Pierre-Boucher—Les Patriotes—Verchères,xavier.barsalou-duval@parl.gc.ca,1 613 996-2998,,https://www.ourcommons.ca/Members/en/xavier-barsalou-duval(88422),https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/45/Barsalou-DuvalXavier_BQ.jpg
3403,MP,Sameer Zuberi,Liberal Party,Member of Parliament for Pierrefonds—Dollard,Sameer.Zuberi@parl.gc.ca,1 613 992-2689,,https://www.ourcommons.ca/Members/en/sameer-zuberi(54157),https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/45/ZuberiSameer_Lib.jpg
3404,MP,Sophie Chatel,Liberal Party,Member of Parliament for Pontiac—Kitigan Zibi,sophie.chatel@parl.gc.ca,1 613 995-3950,,https://www.ourcommons.ca/Members/en/sophie-chatel(110225),https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/45/ChatelSophie_Lib.jpg
3405,MP,Joël Godin,Conservative Party,Member of Parliament for Portneuf—Jacques-Cartier,joel.godin@parl.gc.ca,1 613 992-2798,,https://www.ourcommons.ca/Members/en/joel-godin(89407),https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/45/GodinJoël_CPC.jpg
3406,MP,Eric Lefebvre,Conservative Party,Member of Parliament for Richmond—Arthabaska,eric.lefebvre@parl.gc.ca,1 613 995-1554,,https://www.ourcommons.ca/Members/en/eric-lefebvre(58757),https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/45/LefebvreEric_CPC.jpg
3407,MP,Maxime Blanchette-Joncas,Bloc Québécois,Member of Parliament for Rimouski—La Matapédia,Maxime.Blanchette-Joncas@parl.gc.ca,1 613 992-5302,,https://www.ourcommons.ca/Members/en/maxime-blanchette-joncas(104705),https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/45/Blanchette-JoncasMaxime_BQ.jpg
3408,MP,Linda Lapointe,Liberal Party,Member of Parliament for Rivière-des-Mille-Îles,linda.lapointe@parl.gc.ca,1 613 992-7330,,https://www.ourcommons.ca/Members/en/linda-lapointe(88601),https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/45/LapointeLinda_Lib.jpg
3409,MP,Rhéal Éloi Fortin,Bloc Québécois,Member of Parliament for Rivière-du-Nord,rheal.fortin@parl.gc.ca,1 613 992-3257,,https://www.ourcommons.ca/Members/en/rheal-eloi-fortin(88605),https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/45/FortinRhéal_BQ.jpg
3410,MP,Jean-Yves Duclos,Liberal Party,Member of Parliament for Québec Centre,jean-yves.duclos@parl.gc.ca,1 613 992-8865,,https://www.ourcommons.ca/Members/en/jean-yves-duclos(89408),https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/45/DuclosJean-Yves_Lib.jpg
3411,MP,Patrick Bonin,Bloc Québécois,Member of Parliament for Repentigny,patrick.bonin@parl.gc.ca,1 613 992-5257,,https://www.ourcommons.ca/Members/en/patrick-bonin(122709),https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/45/BoninPatrick_BQ.jpg
3412,MP,Alexandre Boulerice,New Democratic Party (NDP),Member of Parliament for Rosemont—La Petite-Patrie,Alexandre.Boulerice@parl.gc.ca,1 613 992-0423,,https://www.ourcommons.ca/Members/en/alexandre-boulerice(58775),https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/45/BoulericeAlexandre_NDP.jpg
3413,MP,Simon-Pierre Savard-Tremblay,Bloc Québécois,Member of Parliament for Saint-Hyacinthe—Bagot—Acton,Simon-Pierre.Savard-Tremblay@parl.gc.ca,1 613 996-4585,,https://www.ourcommons.ca/Members/en/simon-pierre-savard-tremblay(104944),https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/45/Savard-TremblaySimon-Pierre_BQ.jpg
