name,email,role,city,wall_slug,population
Richard Lee,,Councillor,Burnaby,richard-lee-councillor,249125
Chak Au,,Councillor,Richmond,chak-au-councillor,209937
Gord Lovegrove,,Councillor,Kelowna,gord-lovegrove-councillor,144576
Colin Plant,,Councillor,Saanich,colin-plant-councillor,117735
Judy Brownoff,,Councillor,Saanich,judy-brownoff-councillor,117735
Karen Harper,,Councillor,Saanich,karen-harper-councillor,117735
Mena Westhaver,,Councillor,Saanich,mena-westhaver-councillor,117735
Nathalie Chambers,,Councillor,Saanich,nathalie-chambers-councillor,117735
Susan Brice,,Councillor,Saanich,susan-brice-councillor,117735
Teale Phelps Bondaroff,,Councillor,Saanich,teale-phelps-bondaroff-councillor,117735
Zac de Vries,,Councillor,Saanich,zac-de-vries-councillor,117735
Alicia Guichon,,Councillor,Delta,alicia-guichon-councillor,108455
Daniel Boisvert,,Councillor,Delta,daniel-boisvert-councillor,108455
Dylan Kruger,,Councillor,Delta,dylan-kruger-councillor,108455
Jennifer Johal,,Councillor,Delta,jennifer-johal-councillor,108455
Jessie Dosanjh,,Councillor,Delta,jessie-dosanjh-councillor,108455
Rod Binder,,Councillor,Delta,rod-binder-councillor,108455
Ben Geselbracht,,Councillor,Nanaimo,ben-geselbracht-councillor,99863
Erin Hemmens,,Councillor,Nanaimo,erin-hemmens-councillor,99863
Hilary Eastmure,,Councillor,Nanaimo,hilary-eastmure-councillor,99863
Ian Thorpe,,Councillor,Nanaimo,ian-thorpe-councillor,99863
Janice Perrino,,Councillor,Nanaimo,janice-perrino-councillor,99863
Paul Manly,,Councillor,Nanaimo,paul-manly-councillor,99863
Sheryl Armstrong,,Councillor,Nanaimo,sheryl-armstrong-councillor,99863
Tyler Brown,,Councillor,Nanaimo,tyler-brown-councillor,99863
Bill Sarai,,Councillor,Kamloops,bill-sarai-councillor,97902
Dale Bass,,Councillor,Kamloops,dale-bass-councillor,97902
Katie Neustaeter,,Councillor,Kamloops,katie-neustaeter-councillor,97902
Kelly Hall,,Councillor,Kamloops,kelly-hall-councillor,97902
Margot Middleton,,Councillor,Kamloops,margot-middleton-councillor,97902
Mike O'Reilly,,Councillor,Kamloops,mike-o-reilly-councillor,97902
Nancy Bepple,,Councillor,Kamloops,nancy-bepple-councillor,97902
Stephen Karpuk,,Councillor,Kamloops,stephen-karpuk-councillor,97902
Bud Mercer,,Councillor,Chilliwack,bud-mercer-councillor,93203
Chris Kloot,,Councillor,Chilliwack,chris-kloot-councillor,93203
Harv Westeringh,,Councillor,Chilliwack,harv-westeringh-councillor,93203
Jason Lum,,Councillor,Chilliwack,jason-lum-councillor,93203
Jeff Shields,,Councillor,Chilliwack,jeff-shields-councillor,93203
Nicole Huitema Read,,Councillor,Chilliwack,nicole-huitema-read-councillor,93203
Christopher Mark Coleman,,Councillor,Victoria,christopher-mark-coleman-councillor,91867
Ahmed Yousef,,Councillor,Maple Ridge,ahmed-yousef-councillor,90990
Jenny Tan,,Councillor,Maple Ridge,jenny-tan-councillor,90990
Judy Dueck,,Councillor,Maple Ridge,judy-dueck-councillor,90990
Korleen Carreras,,Councillor,Maple Ridge,korleen-carreras-councillor,90990
Onyeka Dozie,,Councillor,Maple Ridge,onyeka-dozie-councillor,90990
Sunny Schiller,,Councillor,Maple Ridge,sunny-schiller-councillor,90990
Daniel FONTAINE,,Councillor,New Westminster,daniel-fontaine-councillor,78916
Jaimie MCEVOY,,Councillor,New Westminster,jaimie-mcevoy-councillor,78916
Nadine NAKAGAWA,,Councillor,New Westminster,nadine-nakagawa-councillor,78916
Paul MINHAS,,Councillor,New Westminster,paul-minhas-councillor,78916
Ruby CAMPBELL,,Councillor,New Westminster,ruby-campbell-councillor,78916
Tasha HENDERSON,,Councillor,New Westminster,tasha-henderson-councillor,78916
Brian Skakun,,Councillor,Prince George,brian-skakun-councillor,76708
Cori Ramsay,,Councillor,Prince George,cori-ramsay-councillor,76708
Garth Frizzell,,Councillor,Prince George,garth-frizzell-councillor,76708
Kyle Sampson,,Councillor,Prince George,kyle-sampson-councillor,76708
Ron Polillo,,Councillor,Prince George,ron-polillo-councillor,76708
Susan Scott,,Councillor,Prince George,susan-scott-councillor,76708
Tim Bennett,,Councillor,Prince George,tim-bennett-councillor,76708
Trudy Klassen,,Councillor,Prince George,trudy-klassen-councillor,76708
Darrell Penner,,Councillor,Port Coquitlam,darrell-penner-councillor,61498
Dean Washington,,Councillor,Port Coquitlam,dean-washington-councillor,61498
Glenn Pollock,,Councillor,Port Coquitlam,glenn-pollock-councillor,61498
Nancy McCurrach,,Councillor,Port Coquitlam,nancy-mccurrach-councillor,61498
Paige Petriw,,Councillor,Port Coquitlam,paige-petriw-councillor,61498
Steve Darling,,Councillor,Port Coquitlam,steve-darling-councillor,61498
Angela GIRARD,,Councillor,North Vancouver (City),angela-girard-councillor,58120
Betty Forbes,,Councillor,North Vancouver (City),betty-forbes-councillor,58120
Catherine Pope,,Councillor,North Vancouver (City),catherine-pope-councillor,58120
Don BELL,,Councillor,North Vancouver (City),don-bell-councillor,58120
