name,email,role,city,wall_slug,population
Reid Hamer-Jackson,,Mayor,Kamloops,reid-hamer-jackson-mayor,97902
Ken Popove,,Mayor,Chilliwack,ken-popove-mayor,93203
Mike Little,,Mayor,North Vancouver (District),mike-little-mayor,58120
Scott Peter Goodmanson,,Mayor,Langford,scott-peter-goodmanson-mayor,46584
Victor Cumming,,Mayor,Vernon,victor-cumming-mayor,44519
Julius Bloomfield,,Mayor,Penticton,julius-bloomfield-councillor,36885
Gord Milsom,,Mayor,West Kelowna,gord-milsom-mayor,36078
Kermit Dahl,,Mayor,Campbell River,kermit-dahl-mayor,35519
Meghan Lahti,,Mayor,Port Moody,meghan-lahti-councillor,33535
Rob Douglas,,Mayor,North Cowichan,rob-douglas-councillor,31990
Eric Woodward,,Mayor,Langley,eric-woodward-mayor,28963
Nathan Pachal,,Mayor,Langley,nathan-pachal-mayor,28963
Bob Wells,,Mayor,Courtenay,bob-wells-mayor,28420
Armand Hurford,,Mayor,Squamish,armand-hurford-councillor,23819
Megan Knight,,Mayor,White Rock,megan-knight-mayor,21939
LILIA HANSEN,,Mayor,Fort St. John,lilia-hansen-councillor,21465
Wayne Price,,Mayor,Cranbrook,wayne-price-councillor,20499
Alan Harrison,,Mayor,Salmon Arm,alan-harrison-mayor,19432
Nicole MacDonald,,Mayor,Pitt Meadows,nicole-macdonald-councillor,19146
Doug Kobayashi,,Mayor,Colwood,doug-kobayashi-councillor,18961
Sharie MINIONS,,Mayor,Port Alberni,sharie-minions-mayor,18259
Kevin Murdoch,,Mayor,Oak Bay,kevin-murdoch-mayor,17990
Barbara Desjardins,,Mayor,Esquimalt,barbara-desjardins-mayor,17533
Ryan Windsor,,Mayor,Central Saanich,ryan-windsor-mayor,17385
Blair IRELAND,,Mayor,Lake Country,blair-ireland-councillor,15817
Maja Tait,,Mayor,Sooke,maja-tait-mayor,15086
Nicole Minions,,Mayor,Comox,nicole-minions-mayor,14806
Jack Crompton,,Mayor,Whistler,jack-crompton-mayor,13982
Ron Woznow,,Mayor,Powell River,ron-woznow-mayor,13943
Doug O'Brien,,Mayor,Parksville,doug-o-brien-councillor,13642
Darcy Dober,,Mayor,Dawson Creek,darcy-dober-councillor,12323
Cliff McNeil-Smith,,Mayor,Sidney,cliff-mcneil-smith-mayor,12318
Herb Pond,,Mayor,Prince Rupert,herb-pond-mayor,12300
Peter Jones,,Mayor,North Saanich,peter-jones-mayor,12235
Doug Holmes,,Mayor,Summerland,doug-holmes-mayor,12042
Sean Bujtas,,Mayor,Terrace,sean-bujtas-councillor,12017
Sid Tobias,,Mayor,View Royal,sid-tobias-mayor,11575
Jim Garlick,,Mayor,Coldstream,jim-garlick-mayor,11171
Ruth Hoyte,,Mayor,Coldstream,ruth-hoyte-councillor,11171
Janice Morrison,,Mayor,Nelson,janice-morrison-councillor,11106
Surinderpal Rathor,,Mayor,Williams Lake,surinderpal-rathor-mayor,10947
John Henderson,,Mayor,Sechelt,john-henderson-mayor,10847
Ron Paull,,Mayor,Quesnel,ron-paull-councillor,9889
Teunis Westbroek,,Mayor,Qualicum Beach,teunis-westbroek-councillor,9303
Aaron Stone,,Mayor,Ladysmith,aaron-stone-mayor,8990
Maria McFaddin,,Mayor,Castlegar,maria-mcfaddin-councillor,8338
Gary Sulz,,Mayor,Revelstoke,gary-sulz-councillor,8275
Phil Germuth,,Mayor,Kitimat,phil-germuth-mayor,8236
Don McCormick,,Mayor,Kimberley,don-mccormick-mayor,8115
Colleen Jones,,Mayor,Trail,colleen-jones-councillor,7920
Michael Goetz,,Mayor,Merritt,michael-goetz-mayor,7051
Victor Smith,,Mayor,Hope,victor-smith-mayor,6686
Nic Milligan,,Mayor,Fernie,nic-milligan-mayor,6320
Sylvia Pranger,,Mayor,Kent,sylvia-pranger-mayor,6300
Patrick Van Minsel,,Mayor,Peachland,patrick-van-minsel-councillor,5789
Arnold DeBoon,,Mayor,Creston,arnold-deboon-councillor,5583
Sue McKortoff,,Mayor,Osoyoos,sue-mckortoff-mayor,5556
Gladys Atrill,,Mayor,Smithers,gladys-atrill-mayor,5378
Joe CRAMER,,Mayor,Armstrong,joe-cramer-mayor,5323
Christine Fraser,,Mayor,Spallumcheen,christine-fraser-mayor,5307
Martin Johansen,,Mayor,Oliver,martin-johansen-mayor,5094
Marie-Térèse Little,,Mayor,Metchosin,marie-t-r-se-little-mayor,5067
Michelle Staples,,Mayor,Duncan,michelle-staples-mayor,5047
Silas White,,Mayor,Gibsons,silas-white-mayor,4758
Vickey Brown,,Mayor,Cumberland,vickey-brown-councillor,4447
Kevin Moutray,,Mayor,Vanderhoof,kevin-moutray-councillor,4346
ANDREW LEONARD,,Mayor,Bowen Island,andrew-leonard-mayor,4256
David Wilks,,Mayor,Sparwood,david-wilks-mayor,4148
Andy Morel,,Mayor,Rossland,andy-morel-mayor,4140
EVERETT BAKER,,Mayor,Grand Forks,everett-baker-councillor,4112
Ron Oszust,,Mayor,Golden,ron-oszust-mayor,3986
Rob Fraser,,Mayor,Northern Rockies,rob-fraser-mayor,3947
Al Miller,,Mayor,Invermere,al-miller-mayor,3917
Dennis Dugas,,Mayor,Port Hardy,dennis-dugas-mayor,3902
Pat Corbett-Labatt,,Mayor,Port Hardy,pat-corbett-labatt-mayor,3902
Mark SWAIN,,Mayor,Lantzville,mark-swain-mayor,3817
Mike Richman,,Mayor,Pemberton,mike-richman-mayor,3407
Tim McGonigle,,Mayor,Lake Cowichan,tim-mcgonigle-councillor,3325
Joan Atkinson,,Mayor,Mackenzie,joan-atkinson-mayor,3281
Shane Brienen,,Mayor,Houston,shane-brienen-mayor,3052
Huck Galbraith,,Mayor,Enderby,huck-galbraith-mayor,3028
SPENCER COYNE,,Mayor,Princeton,spencer-coyne-mayor,2894
Steve Fairbairn,,Mayor,Elkford,steve-fairbairn-councillor,2749
Colleen Anderson,,Mayor,Sicamous,colleen-anderson-councillor,2613
Dan Law,,Mayor,Tofino,dan-law-councillor,2516
Ken Williams,,Mayor,Highlands,ken-williams-mayor,2482
David Lepsoe,,Mayor,Chase,david-lepsoe-mayor,2399
Darryl Krakowka,,Mayor,Tumbler Ridge,darryl-krakowka-councillor,2399
Merlin Blackwell,,Mayor,Clearwater,merlin-blackwell-mayor,2388
John McEwen,,Mayor,Anmore,john-mcewen-mayor,2356
James Furney,,Mayor,Port McNeill,james-furney-mayor,2356
Allen Courtoreille,,Mayor,Chetwynd,allen-courtoreille-mayor,2302
Laurie Hopfl,,Mayor,Lillooet,laurie-hopfl-councillor,2302
Robin Smith,,Mayor,Logan Lake,robin-smith-mayor,2255
Marilyn McEwen,,Mayor,Ucluelet,marilyn-mcewen-councillor,2066
Kevin Acton,,Mayor,Lumby,kevin-acton-mayor,2063
Steve Morissette,,Mayor,Fruitvale,steve-morissette-mayor,1958
Mitch Campsall,,Mayor,One Hundred Mile House,mitch-campsall-mayor,1928
Ed Wood,,Mayor,Harrison Hot Springs,ed-wood-mayor,1905
Leo Facio,,Mayor,Harrison Hot Springs,leo-facio-mayor,1905
Ward Stamer,,Mayor,Barriere,ward-stamer-mayor,1765
Frank Marino,,Mayor,Warfield,frank-marino-mayor,1753
Barbara Roden,,Mayor,Ashcroft,barbara-roden-mayor,1670
Henry Wiebe,,Mayor,Burns Lake,henry-wiebe-councillor,1659
Jason Wiebe,,Mayor,Keremeos,jason-wiebe-councillor,1608
Tom Zeleznik,,Mayor,Nakusp,tom-zeleznik-mayor,1589
Leroy Dekens,,Mayor,Telkwa,leroy-dekens-mayor,1474
Ken Berry,,Mayor,Lions Bay,ken-berry-mayor,1390
Martin Elphee,,Mayor,Fort St. James,martin-elphee-mayor,1386
MIKE GRAY,,Mayor,Radium Hot Springs,mike-gray-councillor,1339
Brent Taillefer,,Mayor,Taylor,brent-taillefer-councillor,1317
Michael Lott,,Mayor,Gold River,michael-lott-mayor,1246
Diana Lockwood,,Mayor,Salmo,diana-lockwood-mayor,1140
Owen Torgerson,,Mayor,Valemount,owen-torgerson-mayor,1052
